28594174,Jul/16/2017 13:58,parhames,225C - Barcode,GNU C++14,Accepted,404 ms,1900 KB,2017-07-16 13:58:00
41546946,Aug/13/2018 08:52,JinTianHao,225C - Barcode,GNU C++11,Accepted,872 ms,0 KB,2018-08-13 08:52:00
2227457,Sep/21/2012 20:13,kaizh,225C - Barcode,GNU C++,Accepted,140 ms,1500 KB,2012-09-21 20:13:00
15591141,Jan/26/2016 13:45,Depinder,225C - Barcode,GNU C++,Accepted,60 ms,1000 KB,2016-01-26 13:45:00
43109617,Sep/20/2018 14:01,mrkz,225C - Barcode,GNU C++17,Accepted,62 ms,1000 KB,2018-09-20 14:01:00
48957793,Jan/26/2019 08:22,digcboy,225C - Barcode,GNU C++11,Accepted,92 ms,1100 KB,2019-01-26 08:22:00
71636260,Feb/23/2020 01:26,A2J007,225C - Barcode,GNU C++14,Accepted,310 ms,100 KB,2020-02-23 01:26:00
13358966,Oct/03/2015 15:03,woyeshizuile,225C - Barcode,GNU C++,Accepted,62 ms,1000 KB,2015-10-03 15:03:00
2217175,Sep/19/2012 20:54,wccy,225C - Barcode,GNU C++,Accepted,46 ms,2500 KB,2012-09-19 20:54:00
5481131,Dec/20/2013 18:12,spandanpathak,225C - Barcode,GNU C++,Accepted,124 ms,0 KB,2013-12-20 18:12:00
26873181,May/05/2017 08:15,arpitkath,225C - Barcode,Python 2,Accepted,1402 ms,5200 KB,2017-05-05 08:15:00
48936779,Jan/25/2019 17:37,digcboy,225C - Barcode,GNU C++14,Accepted,92 ms,4000 KB,2019-01-25 17:37:00
63132092,Oct/22/2019 17:34,NMFF0B0H,225C - Barcode,GNU C++17,Accepted,404 ms,4700 KB,2019-10-22 17:34:00
