42308222,Aug/31/2018 15:38,xielinhan,235B - Let's Play Osu!,GNU C++,Accepted,124 ms,1800 KB,2018-08-31 15:38:00
50062290,Feb/17/2019 16:13,xielinhan,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,1600 KB,2019-02-17 16:13:00
51680229,Mar/22/2019 15:21,skyping,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-03-22 15:21:00
61398833,Sep/28/2019 07:07,Flamire,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,1400 KB,2019-09-28 07:07:00
2399734,Oct/21/2012 12:03,hanfei19910905,235B - Let's Play Osu!,GNU C++,Accepted,671 ms,0 KB,2012-10-21 12:03:00
2406266,Oct/22/2012 04:07,stevenkplus#,236D - Let's Play Osu!,GNU C++,Accepted,718 ms,0 KB,2012-10-22 04:07:00
2409300,Oct/22/2012 18:50,onetwothree,235B - Let's Play Osu!,GNU C++,Accepted,656 ms,0 KB,2012-10-22 18:50:00
7288545,Jul/30/2014 04:25,ericxu0,235B - Let's Play Osu!,GNU C++,Accepted,124 ms,0 KB,2014-07-30 04:25:00
9568188,Jan/27/2015 07:43,tenshi_kanade,235B - Let's Play Osu!,GNU C++0x,Accepted,1246 ms,800 KB,2015-01-27 07:43:00
52081083,Mar/31/2019 15:12,luogu_bot1,235B - Let's Play Osu!,GNU C++11,Accepted,998 ms,1600 KB,2019-03-31 15:12:00
2772184,Dec/16/2012 12:44,F.L.K,235B - Let's Play Osu!,GNU C++,Accepted,93 ms,0 KB,2012-12-16 12:44:00
58502521,Aug/09/2019 17:55,luogu_bot3,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,2200 KB,2019-08-09 17:55:00
61350313,Sep/27/2019 10:45,Karnage,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,0 KB,2019-09-27 10:45:00
61350419,Sep/27/2019 10:49,Karnage,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,0 KB,2019-09-27 10:49:00
61350725,Sep/27/2019 11:00,Karnage,235B - Let's Play Osu!,GNU C++11,Accepted,154 ms,0 KB,2019-09-27 11:00:00
61351398,Sep/27/2019 11:22,Karnage,235B - Let's Play Osu!,GNU C++11,Accepted,92 ms,0 KB,2019-09-27 11:22:00
79608667,May/10/2020 04:58,wsk1202,235B - Let's Play Osu!,GNU C++11,Accepted,124 ms,5200 KB,2020-05-10 04:58:00
