23856380,Jan/15/2017 20:45,xman1024,755D - PolandBall and Polygon,GNU C++14,Accepted,296 ms,5800 KB,2017-01-15 20:45:00
40982777,Jul/30/2018 21:34,ReaLNero1,755D - PolandBall and Polygon,GNU C++14,Accepted,327 ms,4000 KB,2018-07-30 21:34:00
23893874,Jan/17/2017 06:32,Scarlet_Climax,755D - PolandBall and Polygon,GNU C++11,Accepted,592 ms,2000 KB,2017-01-17 06:32:00
27739648,Jun/12/2017 17:30,waynetuinfor,755D - PolandBall and Polygon,GNU C++14,Accepted,358 ms,0 KB,2017-06-12 17:30:00
23866491,Jan/15/2017 22:44,Ra16bit,755D - PolandBall and Polygon,GNU C++14,Accepted,467 ms,5800 KB,2017-01-15 22:44:00
26653577,Apr/25/2017 08:49,yakamoz,755D - PolandBall and Polygon,GNU C++11,Accepted,343 ms,9900 KB,2017-04-25 08:49:00
46249281,Nov/26/2018 16:19,luogu_bot2,755D - PolandBall and Polygon,GNU C++11,Accepted,779 ms,7800 KB,2018-11-26 16:19:00
24009351,Jan/21/2017 14:06,s3ct4l-r3x,755D - PolandBall and Polygon,GNU C++,Accepted,358 ms,2000 KB,2017-01-21 14:06:00
26816020,May/03/2017 12:25,naknct,755D - PolandBall and Polygon,GNU C++14,Accepted,327 ms,1900 KB,2017-05-03 12:25:00
36498277,Mar/22/2018 13:51,wanggann,755D - PolandBall and Polygon,GNU C++14,Accepted,389 ms,3300 KB,2018-03-22 13:51:00
23871101,Jan/16/2017 04:55,LCF,755D - PolandBall and Polygon,GNU C++,Accepted,358 ms,2000 KB,2017-01-16 04:55:00
23859115,Jan/15/2017 21:05,Raaeeiiss,755D - PolandBall and Polygon,GNU C++,Accepted,764 ms,2000 KB,2017-01-15 21:05:00
23868094,Jan/15/2017 23:26,Caribou,755D - PolandBall and Polygon,Python 3,Accepted,1481 ms,93700 KB,2017-01-15 23:26:00
31176948,Oct/09/2017 23:13,Aviously,755D - PolandBall and Polygon,GNU C++14,Accepted,327 ms,0 KB,2017-10-09 23:13:00
23871259,Jan/16/2017 05:12,TAMREF,755D - PolandBall and Polygon,GNU C++11,Accepted,795 ms,2000 KB,2017-01-16 05:12:00
63218938,Oct/23/2019 10:17,vjudge4,755D - PolandBall and Polygon,GNU C++14,Accepted,312 ms,7800 KB,2019-10-23 10:17:00
23880893,Jan/16/2017 14:57,Zaher,755D - PolandBall and Polygon,GNU C++14,Accepted,343 ms,1900 KB,2017-01-16 14:57:00
24183624,Jan/27/2017 11:53,lessmeaning,755D - PolandBall and Polygon,GNU C++14,Accepted,498 ms,1900 KB,2017-01-27 11:53:00
23863432,Jan/15/2017 21:48,miseri,755D - PolandBall and Polygon,GNU C++11,Accepted,670 ms,2000 KB,2017-01-15 21:48:00
23864206,Jan/15/2017 21:55,peti1234,755D - PolandBall and Polygon,GNU C++11,Accepted,686 ms,2000 KB,2017-01-15 21:55:00
