78845406,May/02/2020 22:17,ashes0409,22D - Segments,GNU C++14,Accepted,31 ms,0 KB,2020-05-02 22:17:00
4273813,Aug/13/2013 18:58,tamir,22D - Segments,GNU C++,Accepted,30 ms,0 KB,2013-08-13 18:58:00
37347952,Apr/15/2018 11:24,monarch.130,22D - Segments,GNU C++14,Accepted,31 ms,3300 KB,2018-04-15 11:24:00
8519180,Nov/02/2014 04:57,ohweonfire,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2014-11-02 04:57:00
58646418,Aug/12/2019 08:58,davooddkareshki,22D - Segments,GNU C++11,Accepted,31 ms,100 KB,2019-08-12 08:58:00
2847918,Dec/28/2012 12:40,numitus,22D - Segments,MS C++,Accepted,15 ms,0 KB,2012-12-28 12:40:00
41005425,Jul/31/2018 12:24,ReaLNero1,22D - Segments,MS C++,Accepted,31 ms,0 KB,2018-07-31 12:24:00
94168,Jun/29/2010 19:36,sevenkplus,22D - Segments,FPC,Accepted,30 ms,1000 KB,2010-06-29 19:36:00
2171461,Sep/15/2012 12:38,vjudge3,22D - Segments,GNU C++,Accepted,31 ms,1400 KB,2012-09-15 12:38:00
27771259,Jun/14/2017 12:25,cr0n,22D - Segments,GNU C++14,Accepted,15 ms,200 KB,2017-06-14 12:25:00
22408215,Nov/22/2016 20:16,FirstSubmission,22D - Segments,GNU C++14,Accepted,15 ms,0 KB,2016-11-22 20:16:00
7329940,Aug/02/2014 19:33,vjudge4,22D - Segments,GNU C++,Accepted,15 ms,0 KB,2014-08-02 19:33:00
