36072235,Mar/08/2018 16:22,too_young_too_top1,939D - Love Rescue,GNU C++14,Accepted,15 ms,2200 KB,2018-03-08 16:22:00
35402402,Feb/17/2018 13:54,eatenbagpipe,939D - Love Rescue,GNU C++,Accepted,15 ms,2200 KB,2018-02-17 13:54:00
35420521,Feb/17/2018 17:36,kazusaw,939D - Love Rescue,GNU C++11,Accepted,31 ms,2800 KB,2018-02-17 17:36:00
35732054,Feb/26/2018 15:47,vjudge4,939D - Love Rescue,GNU C++11,Accepted,15 ms,2300 KB,2018-02-26 15:47:00
38773523,May/30/2018 15:51,vjudge1,939D - Love Rescue,GNU C++,Accepted,46 ms,4100 KB,2018-05-30 15:51:00
59823069,Aug/31/2019 21:09,ashnakapoor07,939D - Love Rescue,GNU C++11,Accepted,46 ms,400 KB,2019-08-31 21:09:00
36013480,Mar/06/2018 19:06,codekode,939D - Love Rescue,GNU C++14,Accepted,15 ms,2400 KB,2018-03-06 19:06:00
38803602,May/31/2018 16:32,vjudge3,939D - Love Rescue,GNU C++,Accepted,46 ms,3800 KB,2018-05-31 16:32:00
55864859,Jun/21/2019 14:34,shubhankarsharma00,939D - Love Rescue,PyPy 2,Accepted,171 ms,5800 KB,2019-06-21 14:34:00
35578503,Feb/22/2018 19:37,VBT,939D - Love Rescue,Java 8,Accepted,140 ms,20200 KB,2018-02-22 19:37:00
35591467,Feb/23/2018 11:33,2016207012,939D - Love Rescue,GNU C++,Accepted,15 ms,2600 KB,2018-02-23 11:33:00
37280602,Apr/13/2018 13:22,chenyeyuan#,939D - Love Rescue,GNU C++11,Accepted,31 ms,3400 KB,2018-04-13 13:22:00
35396861,Feb/17/2018 13:30,lexa,939D - Love Rescue,PyPy 3,Accepted,109 ms,22400 KB,2018-02-17 13:30:00
36289975,Mar/15/2018 06:56,crathva,939D - Love Rescue,GNU C++14,Accepted,15 ms,2400 KB,2018-03-15 06:56:00
38773752,May/30/2018 15:59,vjudge2,939D - Love Rescue,GNU C++,Accepted,62 ms,4100 KB,2018-05-30 15:59:00
35423855,Feb/17/2018 19:10,aiden_pearce,939D - Love Rescue,GNU C++14,Accepted,46 ms,2200 KB,2018-02-17 19:10:00
35575427,Feb/22/2018 17:23,aayush9#,939D - Love Rescue,GNU C++14,Accepted,15 ms,2400 KB,2018-02-22 17:23:00
39651563,Jun/25/2018 16:57,1592063346,939D - Love Rescue,GNU C++,Accepted,31 ms,600 KB,2018-06-25 16:57:00
64740423,Nov/12/2019 14:49,SpacelessX,939D - Love Rescue,GNU C++11,Accepted,93 ms,200 KB,2019-11-12 14:49:00
64740471,Nov/12/2019 14:50,SpacelessX,939D - Love Rescue,GNU C++11,Accepted,93 ms,200 KB,2019-11-12 14:50:00
35404031,Feb/17/2018 14:02,vikgxd,939D - Love Rescue,GNU C++,Accepted,15 ms,3500 KB,2018-02-17 14:02:00
35423514,Feb/17/2018 19:00,DASmirnov,939D - Love Rescue,Python 3,Accepted,264 ms,6000 KB,2018-02-17 19:00:00
35434986,Feb/18/2018 05:51,FieryPhoenix#,939D - Love Rescue,GNU C++11,Accepted,46 ms,2400 KB,2018-02-18 05:51:00
43181422,Sep/21/2018 16:31,ysxxj2,939D - Love Rescue,GNU C++11,Accepted,31 ms,500 KB,2018-09-21 16:31:00
