42439997,Sep/03/2018 22:55,VadVergasov,8A - Train and Peter,GNU C++11,Accepted,92 ms,300 KB,2018-09-03 22:55:00
47530755,Dec/26/2018 21:55,dj_contest,8A - Train and Peter,Python 3,Accepted,248 ms,200 KB,2018-12-26 21:55:00
623709,Aug/20/2011 18:18,emirhandogan,8A - Train and Peter,GNU C++,Accepted,110 ms,1600 KB,2011-08-20 18:18:00
10808666,Apr/21/2015 13:15,szh123,8A - Train and Peter,GNU C++,Accepted,60 ms,1900 KB,2015-04-21 13:15:00
32828164,Dec/01/2017 14:31,AlexTufis,8A - Train and Peter,GNU C++,Accepted,62 ms,2300 KB,2017-12-01 14:31:00
6972919,Jun/28/2014 07:28,kunpeng,8A - Train and Peter,GNU C++,Accepted,92 ms,300 KB,2014-06-28 07:28:00
29600116,Aug/19/2017 16:54,last-phoenix,8A - Train and Peter,GNU C++,Accepted,62 ms,300 KB,2017-08-19 16:54:00
6871167,Jun/13/2014 09:36,ultimacanti,8A - Train and Peter,Python 2,Accepted,92 ms,400 KB,2014-06-13 09:36:00
17518753,Apr/26/2016 11:07,ET_TMN,8A - Train and Peter,GNU C++,Accepted,60 ms,2100 KB,2016-04-26 11:07:00
819293,Apr/08/2010 19:58,nns2009#,8A - Train and Peter,Python 2,Accepted,60 ms,3100 KB,2010-04-08 19:58:00
9663838,Feb/01/2015 12:48,dmcyer,8A - Train and Peter,GNU C++,Accepted,62 ms,300 KB,2015-02-01 12:48:00
20225020,Aug/29/2016 10:56,polphit,8A - Train and Peter,Python 2,Accepted,124 ms,400 KB,2016-08-29 10:56:00
66041879,Nov/30/2019 16:49,ExcitedHipster,8A - Train and Peter,GNU C++14,Accepted,92 ms,300 KB,2019-11-30 16:49:00
75931381,Apr/09/2020 00:05,kobaltoff,8A - Train and Peter,Python 3,Accepted,218 ms,600 KB,2020-04-09 00:05:00
24342819,Feb/01/2017 15:10,I_Scream_4_Icecream,8A - Train and Peter,GNU C++,Accepted,62 ms,2300 KB,2017-02-01 15:10:00
