26098669,Apr/03/2017 14:59,MoENaINeKo,131A - cAPS lOCK,Python 3,Accepted,62 ms,5400 KB,2017-04-03 14:59:00
26788774,May/01/2017 19:14,rocambolebolado,131A - cAPS lOCK,Python 3,Accepted,62 ms,5400 KB,2017-05-01 19:14:00
28890425,Jul/26/2017 04:22,ecnerwala,131A - cAPS lOCK,Python 3,Accepted,62 ms,4500 KB,2017-07-26 04:22:00
30017767,Sep/02/2017 20:21,dagon,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB,2017-09-02 20:21:00
34169047,Jan/14/2018 10:15,Cara_XJ,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2018-01-14 10:15:00
34808499,Feb/01/2018 18:49,NeverN,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2018-02-01 18:49:00
40602978,Jul/21/2018 12:40,chromosomus,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2018-07-21 12:40:00
49227606,Jan/31/2019 05:22,onlygodsee,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2019-01-31 05:22:00
64105327,Nov/02/2019 19:24,tonymontaro,131A - cAPS lOCK,PyPy 3,Accepted,140 ms,0 KB,2019-11-02 19:24:00
68285150,Jan/05/2020 21:13,17wh1a1212,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-01-05 21:13:00
69190027,Jan/20/2020 16:13,whiwf,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-01-20 16:13:00
77591593,Apr/22/2020 00:19,Izombie,131A - cAPS lOCK,Python 3,Accepted,109 ms,0 KB,2020-04-22 00:19:00
27953378,Jun/22/2017 00:53,gabrielmvnog,131A - cAPS lOCK,Python 3,Accepted,77 ms,5400 KB,2017-06-22 00:53:00
35616416,Feb/24/2018 09:37,Bamal,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2018-02-24 09:37:00
36142627,Mar/10/2018 10:58,Sniper_Coder,131A - cAPS lOCK,Python 3,Accepted,62 ms,5500 KB,2018-03-10 10:58:00
45272405,Nov/04/2018 12:09,jwj1700012149,131A - cAPS lOCK,Python 3,Accepted,124 ms,0 KB,2018-11-04 12:09:00
16067527,Feb/17/2016 11:02,EgSubZ,131A - cAPS lOCK,Python 3,Accepted,77 ms,0 KB,2016-02-17 11:02:00
16967669,Mar/27/2016 11:29,Isidev96,131A - cAPS lOCK,Python 3,Accepted,62 ms,4700 KB,2016-03-27 11:29:00
17965882,May/17/2016 14:41,lai66,131A - cAPS lOCK,Python 3,Accepted,62 ms,4800 KB,2016-05-17 14:41:00
